# mode=parallel
# characters=512
# workers=15
# batch=32
# warmup=120
# vsync=0
# resolution=800x600
# complete=1
# exit_loading=0
# pending_at_exit=0
frame,frame_ms,animation_ms,render_submit_ms
0,5.8645,0.6363,4.8282
1,5.4864,0.6754,4.5581
2,6.7318,1.2465,5.2361
3,5.5207,0.6938,4.5997
4,6.0751,0.6779,5.1664
5,5.8537,0.6416,4.9351
6,5.6669,0.6878,4.7303
7,5.9494,0.6387,5.0282
8,5.6295,0.6928,4.6611
9,5.6854,0.7631,4.6814
10,5.7793,0.6651,4.8344
11,5.4231,0.7252,4.4403
12,6.1679,0.6394,5.2998
13,6.068,0.6062,5.2168
14,5.4473,0.6617,4.5438
15,6.1692,0.7239,5.0815
16,5.4284,0.6913,4.4546
17,5.324,0.6207,4.4757
18,5.4078,0.7161,4.4689
19,6.7784,0.6904,5.8111
20,5.889,0.6714,4.9743
21,6.1022,0.7421,5.1059
22,6.2677,0.6581,5.3256
23,6.4203,0.8293,5.3027
24,8.1147,0.7603,6.9276
25,7.799,0.7589,6.7003
26,9.192,0.7931,7.5914
27,9.406,0.717,7.7581
28,9.097,1.1715,7.5616
29,7.8651,0.7397,6.4429
30,7.8075,0.8485,6.6491
31,7.3232,0.7582,6.2498
32,7.8824,0.7588,6.8466
33,6.5414,0.6825,5.6015
34,6.0119,0.6592,5.0297
35,5.8912,0.7616,4.8471
36,5.5202,0.6739,4.6016
37,6.1077,0.5004,5.3559
38,5.3508,0.4548,4.6517
39,5.2932,0.6324,4.4332
40,6.2722,0.6093,5.4213
41,6.0102,0.6685,5.1113
42,6.3992,0.6335,5.2178
43,5.2134,0.4887,4.4287
44,5.2941,0.6444,4.4304
45,5.7539,0.6041,4.8856
46,5.3952,0.6696,4.4587
47,5.1666,0.5378,4.4111
48,5.4812,0.5147,4.6982
49,5.4226,0.6762,4.479
50,5.6894,0.7892,4.5674
51,5.415,0.5149,4.6576
52,5.2858,0.6369,4.4271
53,5.4608,0.6347,4.5678
54,5.3214,0.6248,4.4669
55,5.2515,0.5032,4.5138
56,5.3485,0.7546,4.376
57,5.5514,0.6312,4.6979
58,5.7954,0.6583,4.8921
59,6.8518,0.6229,5.9671
60,5.6939,0.6578,4.8039
61,5.4527,0.6856,4.5407
62,5.6064,0.6715,4.7102
63,5.3951,0.6561,4.485
64,5.8308,0.637,4.92
65,5.424,0.7543,4.44
66,5.741,0.6975,4.8036
67,5.6431,0.6643,4.7422
68,5.2478,0.6173,4.3895
69,5.1549,0.5153,4.4199
70,5.5757,0.5389,4.7351
71,5.3855,0.7378,4.4201
72,5.7108,0.9168,4.5415
73,5.5645,0.6892,4.6327
74,5.5202,0.5331,4.7442
75,5.4693,0.5138,4.7291
76,5.5756,0.5305,4.7963
77,5.3203,0.7372,4.3637
78,5.6499,0.6631,4.6947
79,5.3829,0.7491,4.408
80,5.2383,0.6378,4.3825
81,5.8301,0.6319,4.921
82,5.6705,0.6504,4.7648
83,7.6467,0.6187,6.7649
84,6.368,0.6699,5.43
85,5.8036,0.6008,4.98
86,5.3411,0.6175,4.4995
87,5.444,0.7109,4.5036
88,5.3145,0.7094,4.3844
89,5.5717,0.7126,4.5804
90,6.0185,0.654,5.1067
91,6.1912,0.7732,5.1559
92,5.275,0.6022,4.4139
93,5.3233,0.6243,4.4772
94,5.6105,0.6585,4.7162
95,5.3961,0.6441,4.5209
96,5.5462,0.7777,4.5088
97,6.1456,0.7213,5.1406
98,5.6696,0.6582,4.6249
99,5.2497,0.5381,4.4711
100,5.8595,0.5247,5.0931
101,5.2297,0.5279,4.4756
102,5.7141,0.4272,4.8356
103,5.3805,0.7261,4.3954
104,5.48,0.6762,4.5629
105,5.1734,0.5055,4.4488
106,5.1547,0.5137,4.425
107,5.1401,0.5294,4.397
108,5.1706,0.5122,4.4376
109,5.9271,0.74,4.9663
110,5.6346,0.7134,4.6548
111,5.6507,0.5396,4.8763
112,5.1838,0.5164,4.4271
113,5.1048,0.5273,4.3572
114,5.2792,0.5243,4.4796
115,5.4627,0.6964,4.5098
116,5.3844,0.5959,4.5409
117,5.1504,0.5508,4.3821
118,5.1138,0.518,4.3877
119,6.0013,0.5305,5.1628
120,5.1329,0.522,4.3892
121,5.365,0.5724,4.5532
122,5.7699,0.5881,4.9401
123,5.256,0.5381,4.4835
124,5.7942,0.5487,5.0007
125,5.6116,0.5326,4.8188
126,5.1253,0.4982,4.4081
127,5.3056,0.5002,4.5539
128,5.36,0.6833,4.4452
129,7.1939,0.5327,6.3167
130,5.624,0.6352,4.7546
131,5.0855,0.529,4.338
132,5.4249,0.5297,4.6522
133,6.23,0.5295,5.4385
134,6.3666,0.7363,5.3369
135,6.7219,0.6979,5.763
136,5.2872,0.6654,4.381
137,6.4105,0.7094,5.4719
138,6.2533,0.7096,5.296
139,6.1808,0.6603,5.2754
140,5.5406,0.6993,4.5991
141,5.3437,0.6625,4.3691
142,5.4437,0.7125,4.4586
143,5.7852,0.8025,4.751
144,5.8292,0.682,4.8572
145,6.0226,0.713,5.0426
146,7.516,0.666,6.5822
147,5.6781,0.834,4.553
148,5.4007,0.5243,4.6487
149,5.3214,0.5276,4.5695
150,5.472,0.5423,4.6787
151,5.6192,0.658,4.7108
152,5.7759,0.7563,4.6234
153,5.3622,0.5356,4.6061
154,6.2098,0.5776,5.3456
155,5.7472,0.5824,4.9186
156,6.3815,0.5348,5.6118
157,5.1204,0.5043,4.394
158,5.1047,0.4952,4.3912
159,5.6031,0.6274,4.7281
160,5.2278,0.6419,4.3665
161,5.2357,0.6154,4.3971
162,5.7598,0.7926,4.6896
163,5.4482,0.5114,4.6986
164,5.2475,0.5964,4.4207
165,6.4465,0.8056,5.3266
166,5.4959,0.6636,4.5958
167,6.2191,0.6864,5.2838
168,5.5651,0.6096,4.6234
169,5.3962,0.5976,4.55
170,6.1426,0.6774,5.2124
171,7.2375,0.67,6.3221
172,5.5637,0.6758,4.6549
173,6.0509,0.6466,5.1509
174,6.1146,0.6727,5.1115
175,6.466,0.7335,5.4993
176,5.6907,0.6602,4.8075
177,6.1281,0.6588,5.2247
178,5.4639,0.6698,4.5446
179,5.236,0.6499,4.3662
180,5.7945,0.797,4.6956
181,5.8926,0.7886,4.8773
182,5.3948,0.6908,4.474
183,5.7921,0.6047,4.9442
184,6.0061,0.6845,5.0963
185,6.5232,0.6822,5.5895
186,6.4048,0.6422,5.4208
187,5.9801,0.6899,5.0484
188,5.3439,0.6518,4.4668
189,5.4268,0.6616,4.5222
190,5.8854,0.7655,4.8837
191,5.599,0.6573,4.6841
192,6.1786,0.8174,5.0418
193,5.7732,0.6537,4.8702
194,5.3019,0.6713,4.4107
195,5.9008,0.6552,4.9849
196,6.1525,0.6815,5.0666
197,5.954,0.6752,4.8216
198,6.2867,0.73,5.319
199,5.5177,0.4537,4.8112
200,5.8191,0.6668,4.8448
201,5.4565,0.7711,4.4581
202,5.2609,0.6776,4.3596
203,5.3514,0.696,4.4349
204,5.5097,0.6404,4.3856
205,6.8549,0.6965,5.8447
206,7.1756,0.7001,6.1866
207,7.4187,0.7878,6.2716
208,6.9249,0.74,5.9036
209,7.4617,0.8404,6.3478
210,9.0903,1.138,7.4355
211,8.2483,0.7826,7.1161
212,8.335,0.7498,7.252
213,7.7854,0.7327,6.0417
214,6.605,1.0612,5.0094
215,6.1202,0.7022,5.1452
216,6.8037,0.6884,5.7208
217,6.1396,0.7022,5.1968
218,6.4734,0.6886,5.5321
219,6.1336,0.7217,5.0081
220,7.9181,0.9645,6.5978
221,5.6,0.6358,4.6534
222,5.4653,0.7321,4.5045
223,5.9862,0.6206,5.1195
224,5.885,0.7148,4.9466
225,5.623,0.6712,4.7026
226,5.4096,0.6282,4.5602
227,7.3391,0.5158,6.5838
228,5.5973,0.4681,4.9078
229,6.0642,0.5915,5.1878
230,5.7706,0.5324,4.9992
231,5.496,0.7363,4.5334
232,5.2223,0.5305,4.4515
233,5.3987,0.7563,4.4191
234,5.2184,0.6308,4.372
235,5.5699,0.5094,4.736
236,5.2838,0.5865,4.4676
237,5.6771,0.7085,4.746
238,5.8069,0.5158,5.0027
239,5.7104,0.6872,4.7019
240,5.7437,0.7549,4.7195
241,5.1737,0.6056,4.3533
242,5.3407,0.5045,4.598
243,5.8687,0.5335,5.0722
244,5.7335,0.5442,4.908
245,5.2377,0.5447,4.3871
246,5.8243,0.6238,4.9261
247,5.7283,0.7401,4.7655
248,5.675,0.658,4.7486
249,5.7705,0.5389,4.9857
250,5.2732,0.5399,4.4963
251,5.317,0.5256,4.5332
252,5.2051,0.5922,4.3662
253,5.2769,0.6196,4.4342
254,5.2944,0.6975,4.3776
255,5.5681,0.5263,4.7787
256,5.082,0.4933,4.3686
257,5.3465,0.5215,4.5838
258,5.7048,0.6772,4.7694
259,5.596,0.6616,4.686
260,5.3779,0.6751,4.4799
261,5.3434,0.5364,4.5707
262,5.2431,0.6187,4.4028
263,5.0887,0.5134,4.3612
264,5.2795,0.5273,4.5271
265,5.0979,0.5271,4.361
266,5.3868,0.5252,4.3739
267,5.9014,0.6378,5.0084
268,5.1817,0.5173,4.413
269,5.3167,0.6169,4.464
270,5.6149,0.5779,4.7478
271,5.2197,0.5596,4.4356
272,5.3019,0.6221,4.4496
273,6.1208,0.5245,5.3484
274,5.4435,0.6158,4.6003
275,5.2888,0.5299,4.5363
276,5.4087,0.5017,4.6465
277,5.5141,0.642,4.6381
278,6.1827,0.7193,5.1707
279,5.9419,0.7579,4.9243
280,5.7496,0.5733,4.925
281,5.336,0.5424,4.554
282,5.6286,0.5237,4.8673
283,5.7596,0.5446,4.9613
284,5.1607,0.5165,4.413
285,5.3116,0.6155,4.463
286,6.5816,0.7382,5.5997
287,5.5232,0.7607,4.5378
288,6.0782,0.6588,5.15
289,5.7553,0.7986,4.7231
290,5.124,0.5112,4.3928
291,5.1784,0.5298,4.4312
292,5.5368,0.5228,4.7674
293,5.1973,0.4821,4.4296
294,5.596,0.7427,4.5953
295,5.4059,0.6156,4.4646
296,5.9665,0.5091,5.2128
297,5.6912,0.4512,5.0047
298,5.1766,0.5206,4.4013
299,6.1414,0.4934,5.3928
300,5.4633,0.4726,4.7689
301,5.315,0.5066,4.5754
302,5.3675,0.7064,4.4336
303,6.1013,0.7304,5.1259
304,5.4335,0.5169,4.6761
305,5.6182,0.5673,4.8099
306,5.6766,0.4785,4.9431
307,5.7078,0.5095,4.9361
308,5.6658,0.4883,4.8157
309,5.4483,0.6973,4.5314
310,5.4202,0.7742,4.4275
311,5.319,0.5358,4.5402
312,5.1917,0.5296,4.4431
313,5.473,0.5335,4.6966
314,5.5333,0.5295,4.758
315,5.2203,0.5066,4.4761
316,5.8509,0.741,4.8821
317,5.2643,0.4574,4.5837
318,5.246,0.5092,4.5189
319,5.9767,0.6207,5.0925
320,5.6555,0.7535,4.6748
321,5.7466,0.6792,4.8367
322,5.9798,0.7437,4.798
323,5.7051,0.7341,4.6747
324,6.1529,0.674,4.9124
325,6.1248,0.6683,4.9351
326,5.8713,0.6525,4.9707
327,6.0007,0.603,4.9273
328,5.8725,0.5551,4.8979
329,5.6315,0.451,4.8378
330,5.5037,0.4918,4.6708
331,6.1595,0.6607,5.2513
332,6.7679,0.7036,5.7704
333,7.4845,0.6795,6.5019
334,8.4678,0.8677,6.7851
335,7.0678,0.6448,6.167
336,8.0401,0.7442,6.5664
337,6.9435,0.7398,5.953
338,7.2673,0.6614,6.3467
339,7.5157,0.7971,6.2943
340,7.6828,0.8477,6.4133
341,7.599,0.6315,6.6109
342,8.6843,0.7477,7.1063
343,6.4782,0.7136,5.5039
344,7.4957,0.6743,6.551
345,7.3123,0.6104,6.4168
346,7.6683,0.5635,6.8332
347,7.543,0.553,6.7074
348,7.2468,0.8097,6.1492
349,7.3358,0.7228,6.3486
350,7.4008,0.6898,6.3781
351,7.308,0.6309,6.4008
352,7.1359,0.6912,6.1228
353,7.8332,0.7007,6.7621
354,6.495,0.6586,5.568
355,7.9523,0.6405,6.5944
356,7.6901,0.8394,6.2331
357,7.3169,0.559,6.4226
358,8.3345,0.6633,6.6472
359,7.7423,0.671,6.7874
