# mode=sequential
# characters=512
# workers=15
# batch=32
# warmup=120
# vsync=0
# resolution=800x600
# complete=1
# exit_loading=0
# pending_at_exit=0
frame,frame_ms,animation_ms,render_submit_ms
0,10.2045,4.3119,5.6317
1,9.0839,3.947,4.9059
2,8.5257,3.6326,4.4636
3,9.3379,3.7099,4.622
4,9.1641,3.5299,5.0359
5,9.0214,3.8813,4.884
6,8.4328,3.5857,4.6138
7,8.8141,4.0988,4.4015
8,8.354,3.6886,4.4248
9,10.0595,3.7127,5.8209
10,9.505,4.2721,4.9378
11,9.3125,3.966,4.445
12,9.6648,3.548,5.4919
13,8.6929,3.7919,4.5022
14,9.5385,3.7612,5.2555
15,8.3212,3.5382,4.4672
16,8.6913,3.7293,4.6969
17,9.2971,3.906,5.1134
18,8.9473,3.9016,4.8086
19,9.4825,3.57,5.5726
20,9.0796,3.7934,5.0477
21,9.4678,3.9648,4.3966
22,8.2619,3.5169,4.5083
23,8.5485,3.622,4.6919
24,8.7408,3.6248,4.8401
25,8.2374,3.6352,4.3546
26,9.2394,3.4934,5.5277
27,8.3512,3.8029,4.3256
28,8.4021,3.6875,4.4593
29,9.1783,3.6751,5.2733
30,8.7743,3.9739,4.5738
31,10.0096,3.883,5.4223
32,9.8637,4.3305,5.1537
33,10.1774,3.7787,5.7374
34,9.8196,4.3839,4.7077
35,9.3648,3.6463,5.4662
36,10.1584,4.6528,4.5355
37,9.9651,3.6435,5.8371
38,8.9135,3.7268,4.6547
39,9.3023,4.1342,4.6541
40,9.807,3.9269,5.2451
41,8.6369,3.7622,4.63
42,8.4646,3.5932,4.6354
43,10.2799,3.6154,5.9231
44,9.1931,4.035,4.4415
45,8.5082,3.5953,4.5416
46,10.7835,4.5649,5.7364
47,9.5591,4.5059,4.5531
48,8.2578,3.582,4.4412
49,9.8831,3.9514,5.3044
50,10.0752,4.7197,5.1184
51,8.6326,3.6566,4.7377
52,9.2774,4.1989,4.814
53,8.2367,3.5804,4.424
54,10.4826,4.4504,5.5958
55,9.1345,3.6093,5.2719
56,9.2059,3.9155,4.6273
57,9.3862,3.7137,4.6476
58,9.0205,3.6476,4.8862
59,12.5866,5.4835,6.3335
60,10.3045,4.2186,5.2764
61,8.9066,3.6156,4.6047
62,8.9221,3.6807,4.5014
63,9.681,3.6004,5.3906
64,8.8775,3.5541,4.8384
65,9.675,4.1753,4.8135
66,9.2546,3.9387,5.0531
67,8.742,3.6127,4.8803
68,9.9023,4.0424,5.4195
69,8.5956,3.7233,4.5402
70,9.53,3.6141,5.6551
71,8.6337,3.6972,4.6723
72,8.5387,3.6836,4.62
73,9.1231,3.736,5.1424
74,8.9485,3.7381,4.9536
75,9.4147,3.6051,5.5687
76,9.4692,4.2456,4.9653
77,8.3236,3.5751,4.5124
78,8.832,3.7639,4.8323
79,9.1617,3.6312,5.1354
80,10.8831,3.583,6.9833
81,13.4594,5.0807,7.4154
82,11.8114,4.7488,6.626
83,11.4899,4.4165,6.108
84,10.3703,3.9205,6.0056
85,9.6683,3.7779,5.6114
86,10.0668,4.0636,4.9911
87,10.7609,4.3834,5.7819
88,9.138,4.057,4.8295
89,8.4018,3.5718,4.5709
90,8.9954,4.2216,4.5198
91,9.389,3.5586,5.5978
92,8.9099,3.6822,4.8309
93,10.0252,4.3877,5.3983
94,8.5542,3.532,4.7684
95,9.1523,4.0949,4.7551
96,9.4645,3.7856,5.4271
97,8.2783,3.5752,4.4599
98,8.7509,4.0882,4.4309
99,8.2025,3.553,4.4208
100,9.0941,3.6022,4.7687
101,9.2934,3.6369,5.4078
102,8.8133,3.6727,4.9012
103,9.5781,4.2901,4.9175
104,9.3487,4.0152,5.0718
105,8.7244,4.0318,4.457
106,9.255,3.6015,5.3689
107,9.6242,3.8994,5.3667
108,9.5938,3.9516,5.3956
109,8.9235,3.7488,4.8566
110,8.5289,3.5603,4.4467
111,10.4231,3.5994,6.386
112,8.5768,3.59,4.4029
113,8.9577,3.8946,4.4244
114,9.0837,4.0809,4.6956
115,8.5941,3.5456,4.4248
116,8.9307,4.0686,4.4285
117,9.7903,4.5661,4.9354
118,9.2912,3.5152,5.3838
119,8.4909,3.4762,4.7297
120,8.8643,4.1189,4.5044
121,8.7774,3.6232,4.4622
122,9.4794,3.5729,5.112
123,8.3508,3.64,4.4341
124,8.7412,3.7443,4.6088
125,8.5794,3.6483,4.5362
126,8.905,3.9299,4.5159
127,8.544,3.8729,4.3691
128,9.4964,3.9637,4.7793
129,8.5769,3.727,4.6072
130,8.6338,3.6317,4.7657
131,8.6854,3.5754,4.7901
132,8.3773,3.725,4.4175
133,8.832,3.5508,5.0303
134,9.6314,3.5821,5.4497
135,9.2634,3.7942,4.3828
136,10.0511,3.9495,5.7263
137,8.9698,3.5963,4.6805
138,11.0829,4.4597,5.4072
139,9.657,4.4694,4.4692
140,10.3822,3.9305,5.899
141,8.9873,4.0141,4.6022
142,11.2974,5.6994,5.2259
143,9.4249,3.9032,5.0379
144,9.3,3.6951,5.0205
145,9.1173,3.8406,4.7973
146,9.9363,4.1663,5.2432
147,8.9363,4.2156,4.4883
148,9.9259,4.1785,5.2379
149,9.33,4.226,4.781
150,9.0799,3.7983,5.0415
151,9.0586,3.7958,4.8701
152,9.9057,3.8537,5.2501
153,10.5879,3.7812,6.3655
154,8.8895,4.0408,4.4845
155,8.8214,3.5667,5.0202
156,8.2828,3.6235,4.4309
157,8.9049,3.8387,4.8294
158,8.3544,3.5737,4.552
159,8.2149,3.5824,4.4114
160,8.5591,3.8424,4.4823
161,8.673,3.5553,4.8691
162,9.2013,4.3134,4.6494
163,8.3801,3.6535,4.4912
164,10.2029,4.3298,5.6205
165,9.2276,3.866,5.1229
166,8.2052,3.5712,4.4137
167,8.7351,3.6017,4.9022
168,8.3883,3.5938,4.5501
169,8.4039,3.6095,4.5627
170,8.8114,3.9942,4.554
171,8.3634,3.6451,4.4648
172,8.3627,3.5584,4.5583
173,8.2773,3.6093,4.4408
174,9.1476,3.5754,5.3201
175,8.4271,3.6829,4.5192
176,8.2595,3.6211,4.415
177,8.3571,3.603,4.5254
178,8.2813,3.6223,4.4289
179,8.4662,3.5457,4.4844
180,8.1361,3.5632,4.3501
181,8.3157,3.5627,4.5302
182,8.2172,3.5365,4.4601
183,8.8512,3.6469,4.9408
184,9.0124,3.5798,5.1964
185,8.2881,3.6091,4.4496
186,8.1707,3.5585,4.391
187,8.5912,3.8093,4.5074
188,8.3636,3.6134,4.5171
189,8.2582,3.5958,4.4403
190,8.26,3.5903,4.4523
191,8.1793,3.556,4.4062
192,8.2738,3.5532,4.5062
193,8.3215,3.5785,4.5178
194,8.2438,3.5914,4.4086
195,8.1559,3.5332,4.4137
196,8.2295,3.5824,4.4265
197,8.2494,3.6237,4.4002
198,8.218,3.6095,4.3837
199,8.4191,3.5361,4.5483
200,8.9744,4.0284,4.7114
201,8.6382,3.9051,4.4946
202,8.2851,3.5778,4.4558
203,8.2397,3.5673,4.4494
204,8.5581,3.5949,4.726
205,8.6381,3.8681,4.5325
206,8.2229,3.5565,4.4364
207,8.4544,3.7746,4.4481
208,8.1716,3.5515,4.4031
209,8.3507,3.7266,4.4
210,8.3492,3.6187,4.4251
211,8.2803,3.5799,4.4
212,8.4713,3.5416,4.6914
213,8.2596,3.6222,4.4144
214,8.3082,3.5981,4.4781
215,8.3286,3.5592,4.5212
216,8.5335,3.6306,4.6281
217,8.3041,3.6604,4.3679
218,8.2721,3.6318,4.425
219,8.2671,3.5691,4.4716
220,8.1788,3.589,4.363
221,8.4197,3.5872,4.5988
222,8.2949,3.535,4.5294
223,8.3146,3.5547,4.5397
224,8.4868,3.6729,4.4612
225,8.6196,3.6922,4.6773
226,8.6285,3.6222,4.5858
227,9.0245,3.974,4.7046
228,9.2126,3.6274,4.9112
229,9.0322,3.763,4.7086
230,9.1706,3.8045,4.9314
231,9.1016,3.9021,4.9124
232,9.0807,3.8783,4.9623
233,9.1413,3.8061,5.0703
234,8.8956,3.8062,4.8249
235,8.8948,3.873,4.7686
236,8.9277,3.8305,4.8644
237,9.1338,3.8688,4.8242
238,8.6075,3.6587,4.7144
239,8.4089,3.6147,4.4792
240,8.308,3.5979,4.4323
241,8.3274,3.5436,4.5583
242,8.4474,3.5406,4.6896
