# mode=parallel
# characters=512
# workers=15
# batch=32
# warmup=120
# vsync=0
# resolution=800x600
# complete=1
# exit_loading=0
# pending_at_exit=0
frame,frame_ms,animation_ms,render_submit_ms
0,6.0294,0.6551,5.131
1,6.3302,0.7502,5.3206
2,5.4879,0.7612,4.486
3,5.4456,0.7705,4.4614
4,5.4129,0.6192,4.584
5,5.6411,0.73,4.5687
6,6.4795,0.697,5.4754
7,5.5797,0.7275,4.6276
8,5.458,0.6568,4.5357
9,5.4214,0.6971,4.4675
10,6.4687,0.7784,5.357
11,6.0154,0.7213,5.0077
12,5.9291,0.6879,4.6297
13,5.817,0.8222,4.7646
14,5.6023,0.748,4.6149
15,5.5039,0.752,4.5205
16,5.6017,0.7494,4.6406
17,5.3616,0.6903,4.4587
18,5.7166,0.7032,4.7722
19,5.6494,0.7447,4.6693
20,5.4097,0.6827,4.5102
21,5.775,0.6839,4.8649
22,5.7717,0.5399,4.999
23,5.697,0.5679,4.908
24,6.2338,0.7499,5.2607
25,5.4188,0.6796,4.5106
26,5.5936,0.6905,4.5907
27,6.1054,0.674,5.0436
28,5.8935,0.6983,4.9478
29,6.9075,0.7528,5.8919
30,5.9367,0.6987,4.9835
31,8.0796,0.884,6.7074
32,6.6655,0.7389,5.628
33,7.4967,0.7403,6.4928
34,5.7365,0.7251,4.7746
35,6.0575,0.6873,4.9748
36,5.6551,0.7418,4.6862
37,5.3012,0.5156,4.4836
38,5.4223,0.7416,4.457
39,5.458,0.7597,4.4582
40,5.2229,0.5156,4.4981
41,5.4126,0.5192,4.6566
42,6.3002,0.5089,5.5423
43,7.3401,0.6747,6.4236
44,5.1881,0.4832,4.485
45,5.2577,0.5033,4.4275
46,5.307,0.6635,4.4252
47,5.4372,0.7743,4.4468
48,5.1273,0.5134,4.4107
49,5.9383,0.5179,5.1251
50,5.3636,0.585,4.5445
51,6.551,0.6595,5.6534
52,5.5143,0.4922,4.803
53,5.6494,0.6349,4.7481
54,5.7031,0.6466,4.7506
55,5.6181,0.7581,4.6281
56,5.648,0.6391,4.7669
57,6.2549,0.6777,5.3141
58,5.2927,0.5614,4.4889
59,5.1869,0.5452,4.433
