# mode=sequential
# characters=512
# workers=15
# batch=32
# warmup=120
# vsync=0
# resolution=800x600
# complete=1
# exit_loading=0
# pending_at_exit=0
frame,frame_ms,animation_ms,render_submit_ms
0,8.1851,3.4626,4.4001
1,8.123,3.4707,4.4383
2,8.1808,3.5587,4.4
3,8.0389,3.4533,4.3839
4,8.6968,3.9877,4.4861
5,8.3876,3.5032,4.6642
6,8.579,3.5557,4.7648
7,8.8353,3.4908,5.1138
8,9.2167,3.5407,5.4261
9,8.5434,3.6102,4.6952
10,8.1232,3.4925,4.4242
11,8.7903,3.7731,4.7837
12,8.7877,3.6715,4.8687
13,8.458,3.8325,4.4036
14,8.5386,3.433,4.8926
15,8.2542,3.5697,4.4727
16,8.1464,3.4965,4.4444
17,8.084,3.4759,4.4068
18,8.2197,3.5611,4.4326
19,8.0559,3.4601,4.3924
20,8.2161,3.5712,4.4323
21,8.2144,3.4609,4.4727
22,9.3004,4.3207,4.7508
23,8.8905,3.7137,4.9375
24,8.1783,3.5806,4.3886
25,8.1021,3.4401,4.4364
26,8.1691,3.4814,4.4389
27,8.4,3.5249,4.6032
28,9.1444,4.2998,4.6252
29,9.0331,3.8906,4.9056
30,8.5343,3.5209,4.7868
31,8.371,3.5802,4.5695
32,8.6336,3.6572,4.7421
33,8.1987,3.5017,4.4874
34,10.3942,3.4711,6.6057
35,8.8663,3.6191,5.008
36,8.1984,3.5421,4.4311
37,8.069,3.4636,4.3974
38,8.1435,3.49,4.3913
39,8.1236,3.4472,4.4552
40,8.0543,3.4637,4.3855
41,8.6763,3.9606,4.4911
42,8.0696,3.4526,4.4075
43,8.5524,3.4609,4.873
44,8.1873,3.4981,4.4665
45,8.3146,3.5039,4.5781
46,8.164,3.456,4.501
47,8.3986,3.4365,4.7543
48,8.1422,3.4803,4.4561
49,8.7757,3.632,4.9027
50,8.2212,3.5236,4.4937
51,8.2483,3.6267,4.4049
52,8.1161,3.4482,4.4544
53,8.1811,3.4751,4.4825
54,8.5245,3.5352,4.7659
55,9.0991,3.6234,5.2367
56,8.8829,3.6321,5.0034
57,10.0314,4.6122,5.0849
58,9.3579,3.6729,5.2696
59,10.073,4.1249,5.6877
60,8.801,3.5249,5.0594
61,9.1021,4.2863,4.5847
62,9.1579,3.6134,5.3055
63,8.6244,4.0096,4.3915
64,8.0642,3.4268,4.4301
65,8.0244,3.4429,4.38
66,8.1708,3.4421,4.5253
67,8.0651,3.4654,4.3911
68,8.5046,3.4573,4.8381
69,8.3767,3.7056,4.4319
70,8.5432,3.4908,4.8438
71,8.1177,3.4951,4.3948
72,8.5866,3.5789,4.7719
73,8.2283,3.4422,4.5531
74,8.5302,3.6667,4.6225
