# uzlezz-bench v1
# scenario=burst
# loading=async
# vsync=0
# warmup_frames=300
# batch_textures=12
# batch_failed=0
# batch_from_cache=0
# batch_bytes=16838877
# batch_ms=119.166
# complete=1
# exit_during_load=0
# upload_budget_ms=4
frame,phase,frame_ms,main_load_ms
0,idle,0.4186,0.0000
1,idle,0.3970,0.0000
2,idle,0.3960,0.0000
3,idle,0.4077,0.0000
4,idle,0.4175,0.0000
5,idle,0.4672,0.0000
6,idle,0.4277,0.0000
7,idle,0.4103,0.0000
8,idle,0.4353,0.0000
9,idle,0.5825,0.0000
10,idle,0.4036,0.0000
11,idle,0.3991,0.0000
12,idle,0.9488,0.0000
13,idle,0.4443,0.0000
14,idle,0.4437,0.0000
15,idle,0.4067,0.0000
16,idle,0.4135,0.0000
17,idle,0.3979,0.0000
18,idle,0.4451,0.0000
19,idle,0.4293,0.0000
20,idle,0.7946,0.0000
21,idle,0.6903,0.0000
22,idle,0.6023,0.0000
23,idle,0.5878,0.0000
24,idle,0.4123,0.0000
25,idle,0.3954,0.0000
26,idle,0.4281,0.0000
27,idle,0.4075,0.0000
28,idle,0.4194,0.0000
29,idle,0.3911,0.0000
30,idle,0.4828,0.0000
31,idle,0.4624,0.0000
32,idle,0.4644,0.0000
33,idle,0.4135,0.0000
34,idle,0.3969,0.0000
35,idle,0.3968,0.0000
36,idle,0.4154,0.0000
37,idle,0.3992,0.0000
38,idle,0.4082,0.0000
39,idle,0.7757,0.0000
40,idle,0.5050,0.0000
41,idle,0.4185,0.0000
42,idle,0.4188,0.0000
43,idle,0.4057,0.0000
44,idle,0.4072,0.0000
45,idle,0.4005,0.0000
46,idle,0.4182,0.0000
47,idle,0.3948,0.0000
48,idle,0.7924,0.0000
49,idle,0.8431,0.0000
50,idle,0.4872,0.0000
51,idle,0.4248,0.0000
52,idle,0.3979,0.0000
53,idle,0.4404,0.0000
54,idle,0.3946,0.0000
55,idle,0.3936,0.0000
56,idle,0.4068,0.0000
57,idle,0.3921,0.0000
58,idle,0.5307,0.0000
59,idle,0.7678,0.0000
60,idle,1.1331,0.0000
61,idle,0.6176,0.0000
62,idle,0.6715,0.0000
63,idle,0.5289,0.0000
64,idle,0.4693,0.0000
65,idle,0.4703,0.0000
66,idle,0.4583,0.0000
67,idle,0.4652,0.0000
68,idle,0.4695,0.0000
69,idle,0.4642,0.0000
70,idle,0.5091,0.0000
71,idle,0.4731,0.0000
72,idle,0.5150,0.0000
73,idle,0.4828,0.0000
74,idle,0.4882,0.0000
75,idle,0.4999,0.0000
76,idle,0.5072,0.0000
77,idle,0.4052,0.0000
78,idle,0.3991,0.0000
79,idle,0.4814,0.0000
80,idle,0.4346,0.0000
81,idle,0.4080,0.0000
82,idle,0.3953,0.0000
83,idle,0.8679,0.0000
84,idle,0.4038,0.0000
85,idle,0.3885,0.0000
86,idle,0.5108,0.0000
87,idle,0.4012,0.0000
88,idle,0.3947,0.0000
89,idle,0.4479,0.0000
90,idle,0.4756,0.0000
91,idle,0.5463,0.0000
92,idle,0.5037,0.0000
93,idle,0.4309,0.0000
94,idle,0.4277,0.0000
