# mode=parallel
# characters=64
# workers=15
# batch=32
# warmup=120
# vsync=0
# resolution=800x600
# complete=1
# exit_loading=0
# pending_at_exit=0
frame,frame_ms,animation_ms,render_submit_ms
0,0.8819,0.3267,0.3369
1,0.8673,0.3073,0.3304
2,0.8763,0.3103,0.3289
3,1.1034,0.3207,0.3354
4,1.0271,0.3853,0.349
5,1.5975,0.3629,0.3598
6,0.8615,0.253,0.345
7,0.9338,0.3014,0.3922
8,0.9534,0.2464,0.4588
9,0.9228,0.3157,0.3665
10,0.8782,0.2748,0.3446
11,0.7962,0.2435,0.3343
12,0.985,0.4345,0.3328
13,0.7854,0.2468,0.3326
14,0.829,0.2681,0.3373
15,0.9975,0.2771,0.4396
16,0.9461,0.3121,0.4029
17,0.8169,0.2517,0.3321
18,1.0451,0.3565,0.3326
19,0.7834,0.2477,0.3354
20,0.9335,0.3944,0.3334
21,0.7982,0.2497,0.3428
22,1.193,0.5896,0.3346
23,0.783,0.255,0.3258
24,0.7726,0.2431,0.3289
25,0.8886,0.2472,0.4253
26,0.8338,0.2455,0.3351
27,0.857,0.2965,0.3511
28,0.8307,0.2782,0.3399
29,0.8572,0.3043,0.3299
30,0.8709,0.2724,0.3772
31,0.8142,0.2731,0.3301
32,0.9108,0.3415,0.3548
33,0.8578,0.3028,0.3289
34,0.8213,0.3023,0.3269
35,0.8456,0.317,0.3327
36,0.7748,0.2492,0.3336
37,0.8485,0.3237,0.3271
38,0.9509,0.4164,0.3341
39,0.9404,0.3407,0.3635
40,0.9869,0.3683,0.4058
41,0.9353,0.3884,0.3284
42,0.7731,0.243,0.3314
43,1.2987,0.5106,0.4224
44,1.0508,0.2537,0.4685
45,1.1585,0.4641,0.3332
46,1.1854,0.3402,0.5135
47,0.8921,0.3006,0.3381
48,0.971,0.2996,0.4186
49,0.9732,0.4271,0.3342
50,1.1036,0.389,0.4714
51,0.8542,0.2998,0.3476
52,0.8393,0.2921,0.328
53,0.8585,0.3147,0.3437
54,0.8889,0.3176,0.3254
55,0.8944,0.3385,0.3287
56,0.9687,0.2775,0.3913
57,0.8714,0.3083,0.3292
58,1.3025,0.3233,0.4331
59,1.0089,0.3444,0.3338
