# mode=parallel
# characters=64
# workers=15
# batch=32
# warmup=120
# vsync=0
# resolution=800x600
# complete=1
# exit_loading=0
# pending_at_exit=0
frame,frame_ms,animation_ms,render_submit_ms
0,1.5855,0.3422,0.5353
1,1.2418,0.3481,0.5868
2,1.4732,0.4283,0.639
3,1.3531,0.3768,0.5923
4,1.6556,0.3612,0.5807
5,1.3266,0.3379,0.6074
6,1.2518,0.3814,0.5973
7,1.4817,0.4026,0.4719
8,1.1889,0.3362,0.5648
9,1.535,0.3418,0.5557
10,0.9756,0.3961,0.3318
11,1.1832,0.3383,0.5795
12,1.2589,0.3263,0.6658
13,1.1504,0.3367,0.5511
14,1.2151,0.3284,0.5654
15,1.3107,0.3256,0.5873
16,1.3851,0.3471,0.5283
17,1.2154,0.338,0.6152
18,1.6484,0.3467,0.5939
19,1.2009,0.4264,0.5194
20,1.1339,0.3388,0.5284
21,1.6461,0.3284,0.5671
22,1.4797,0.507,0.5782
23,1.2581,0.3936,0.5189
24,1.3809,0.3587,0.5548
25,1.2173,0.3337,0.5876
26,1.0865,0.3279,0.5119
27,1.5874,0.6111,0.6612
28,1.5093,0.3634,0.613
29,1.2798,0.3277,0.5181
30,1.3053,0.413,0.6161
31,1.7138,0.4121,0.7712
32,1.5037,0.3421,0.7357
33,1.4052,0.375,0.5728
34,1.1979,0.3613,0.5353
35,1.5768,0.4007,0.5843
36,1.3079,0.4001,0.5645
37,1.3815,0.3797,0.5621
38,1.2245,0.3363,0.5712
39,1.1497,0.3468,0.4423
40,1.6053,0.4421,0.5423
41,1.3092,0.4478,0.5849
42,1.7151,0.3666,0.6507
43,1.1958,0.3405,0.5923
44,1.6341,0.354,0.557
45,1.2795,0.3654,0.641
46,1.5405,0.3792,0.59
47,1.3417,0.4521,0.5871
48,1.4639,0.3738,0.6024
49,1.1819,0.4159,0.4709
50,1.7509,0.5101,0.6436
51,1.3217,0.3556,0.5774
52,1.2004,0.3548,0.509
53,1.1284,0.3467,0.5418
54,0.9988,0.3295,0.3459
55,1.455,0.4679,0.6076
56,1.5109,0.3432,0.5705
57,1.0873,0.3422,0.4729
58,0.9421,0.3418,0.3757
59,0.9849,0.314,0.3557
