# mode=parallel
# characters=512
# workers=15
# batch=32
# warmup=120
# vsync=0
# resolution=800x600
# complete=1
# exit_loading=0
# pending_at_exit=0
frame,frame_ms,animation_ms,render_submit_ms
0,5.496,0.6646,4.5812
1,6.9176,0.6844,5.9238
2,6.0961,0.7301,5.1226
3,8.0364,0.7369,7.0028
4,7.7338,0.7314,6.6886
5,8.1561,0.7864,6.9851
6,5.6985,0.8059,4.6301
7,7.272,0.7954,6.1807
8,6.3665,0.7497,5.0551
9,6.5117,0.7348,5.5384
10,6.0464,0.6892,5.1281
11,5.5326,0.7577,4.5514
12,5.4921,0.5287,4.7204
13,6.4723,0.5085,5.6496
14,5.4864,0.7342,4.4807
15,5.9759,0.499,5.1051
16,5.7104,0.6694,4.7724
17,5.7295,0.5879,4.8923
18,5.7211,0.5512,4.9123
19,5.1674,0.5673,4.3823
20,5.7985,0.5321,5.0111
21,5.24,0.5179,4.487
22,5.1144,0.5186,4.3595
23,5.3729,0.7401,4.3576
24,5.5852,0.8981,4.4309
25,5.1588,0.5933,4.3508
26,5.4305,0.6553,4.5416
27,5.421,0.5869,4.5385
28,5.5291,0.7077,4.5759
29,5.3523,0.7428,4.3893
30,5.1084,0.5286,4.3644
31,5.8617,0.5252,5.0769
32,5.4229,0.5174,4.6657
33,5.1254,0.5273,4.3768
34,5.0708,0.4913,4.3673
35,5.5698,0.6341,4.6334
36,5.2423,0.5844,4.3777
37,6.4135,0.6217,5.4645
38,5.9198,0.7404,4.9513
39,5.4089,0.5179,4.6525
40,5.5198,0.5209,4.7502
41,5.1171,0.4876,4.4064
42,5.2224,0.6287,4.3803
43,5.4305,0.5229,4.6545
44,5.3592,0.544,4.5952
45,5.1155,0.5381,4.3587
46,6.0301,0.5219,5.2295
47,5.7925,0.7119,4.8552
48,5.8579,0.6614,4.9284
49,5.5886,0.7087,4.6624
50,5.4601,0.7027,4.5031
51,5.3054,0.519,4.5454
52,6.3814,0.5383,5.5309
53,5.4971,0.6961,4.5224
54,6.1866,0.7364,5.1487
55,5.1402,0.5372,4.3865
56,5.1298,0.552,4.3606
57,6.1317,0.6164,5.2633
58,5.6422,0.7895,4.5786
59,5.5806,0.6867,4.6512
60,5.6198,0.5188,4.8232
61,5.1668,0.5293,4.4111
62,6.2872,0.833,5.1429
63,5.8476,0.6565,4.9552
64,5.1591,0.5055,4.4231
65,5.9954,0.7884,4.8307
66,5.4075,0.753,4.4145
67,5.107,0.5225,4.3691
68,5.5543,0.577,4.7251
69,5.4171,0.5213,4.6568
70,5.3019,0.5373,4.5163
71,5.5425,0.5586,4.7415
72,5.4356,0.7611,4.4354
73,5.1941,0.4493,4.5226
74,5.8856,0.5076,5.1367
75,5.0928,0.4355,4.4341
76,5.5751,0.7565,4.4927
77,5.627,0.5116,4.6395
78,5.4558,0.7846,4.3876
79,5.3167,0.6067,4.4166
80,5.1132,0.4811,4.4088
81,5.1126,0.5326,4.3657
82,5.5192,0.6891,4.5283
83,5.1279,0.4973,4.3699
84,5.9973,0.7549,4.9296
85,5.2607,0.6742,4.3599
86,5.4424,0.53,4.6681
87,5.2518,0.5369,4.4965
88,5.6629,0.4961,4.9219
89,5.1046,0.4898,4.388
90,5.3482,0.6142,4.5126
91,6.6153,0.6999,5.6136
92,5.3873,0.7066,4.4293
93,5.0799,0.4914,4.3622
94,5.5613,0.5245,4.7841
95,5.9062,0.492,5.1715
96,5.614,0.5119,4.853
97,5.3538,0.6504,4.4827
98,5.5065,0.7286,4.5482
99,6.7276,0.7561,5.0225
100,5.6062,0.7006,4.639
101,5.5373,0.6805,4.5775
102,5.3035,0.689,4.3952
103,5.3348,0.6854,4.4274
104,5.7619,0.7773,4.3567
105,5.6609,0.7452,4.6645
106,5.4792,0.6919,4.5353
107,5.633,0.6553,4.734
108,5.7673,0.6835,4.8414
109,5.7215,0.656,4.8201
110,5.3145,0.6371,4.4578
111,5.2424,0.6129,4.4058
112,5.4228,0.6307,4.5454
113,5.336,0.6517,4.4593
114,5.5327,0.6528,4.5172
115,5.3811,0.7094,4.4433
116,5.3606,0.6531,4.4762
117,5.578,0.6814,4.6527
118,5.9037,0.6792,4.9934
119,5.7325,0.6481,4.8456
