# mode=sequential
# characters=512
# workers=15
# batch=32
# warmup=120
# vsync=0
# resolution=800x600
# complete=1
# exit_loading=0
# pending_at_exit=0
frame,frame_ms,animation_ms,render_submit_ms
0,14.8297,4.7258,8.4954
1,13.304,4.5867,7.9644
2,17.0057,4.9695,10.0371
3,23.8606,6.6586,16.2034
4,14.9209,5.726,7.7244
5,12.9278,4.6143,7.4346
6,12.9403,4.7827,7.7167
7,12.8581,4.7887,7.5138
8,13.4539,5.0011,8.0486
9,14.2096,5.3545,8.0751
10,12.71,4.747,7.5714
11,12.3911,4.8509,6.747
12,13.2278,4.8454,7.864
13,13.514,5.0113,8.1134
14,14.5336,4.9935,8.9349
15,12.1587,4.7424,6.8965
16,10.2223,4.4357,5.4659
17,9.5689,4.0651,5.1969
18,9.5311,3.8889,5.3134
19,10.7962,4.6221,5.8536
20,10.8188,3.8868,6.5747
21,12.6782,4.6927,7.6205
22,13.8823,4.7725,8.7114
23,11.1996,4.4156,6.4126
24,9.2343,4.3177,4.6536
25,8.514,3.641,4.63
26,9.1779,3.6672,5.1771
27,9.0514,3.6855,5.0106
28,9.8911,3.6702,5.9176
29,8.7033,3.7371,4.5602
30,9.7778,3.6499,5.8613
31,9.0431,4.0087,4.7824
32,9.9955,4.3365,5.2169
33,9.6783,3.6705,4.4715
34,8.3908,3.6252,4.5314
35,9.6536,3.6321,5.697
36,9.3082,4.1325,4.8687
37,9.0731,3.6372,5.0926
38,9.0374,3.91,4.862
39,9.6643,4.2434,5.146
40,9.5118,3.7271,5.5445
41,8.4381,3.7404,4.4151
42,8.542,3.789,4.5163
43,9.0566,3.6308,5.0641
44,9.4439,3.9009,5.2443
45,9.7071,4.0383,5.3702
46,9.0149,3.6858,5.0056
47,8.7558,3.8999,4.6229
48,8.9372,3.7422,4.7286
49,8.3933,3.5816,4.4798
50,9.7758,3.9869,5.5071
51,9.2547,4.2119,4.7935
52,8.8288,3.6642,4.9019
53,11.2488,3.9959,6.8607
54,12.0944,5.2945,6.2697
55,12.4988,4.8675,7.1307
56,12.0163,4.8143,6.5211
57,12.4278,4.6724,7.4404
58,11.9276,4.5448,7.0057
59,12.8304,4.9618,7.3792
60,12.569,4.237,7.7843
61,13.8732,4.8624,7.9954
62,12.0248,4.7871,6.9251
63,12.6192,5.1926,6.6963
64,12.6466,4.5269,7.6486
65,15.3548,5.3058,9.2393
66,12.5983,5.0568,6.9332
67,12.3277,4.583,7.226
68,14.0479,5.8171,7.8219
69,12.5748,4.4923,7.6564
70,13.2572,4.9643,7.5479
71,13.6244,4.9854,7.7566
72,14.4493,4.533,8.7134
73,17.7721,7.8643,8.295
74,14.9248,5.0881,8.5521
75,16.7827,5.4083,9.0195
76,13.8002,4.8708,8.0409
77,14.73,4.9428,8.0547
78,13.9946,5.1212,8.0906
79,13.476,5.0699,7.8694
80,13.2526,4.8451,7.6248
81,11.9856,4.6153,7.0049
82,12.3095,4.6302,7.0446
83,12.6211,4.7742,7.4733
84,14.3506,4.5468,8.9104
85,12.3967,4.5175,7.2214
86,14.0088,5.4089,8.0013
87,16.0322,5.6453,9.9913
88,14.4556,4.8322,9.1895
89,12.8117,4.9107,7.2881
90,12.8274,4.6051,7.7336
91,13.167,4.8209,7.7073
92,17.0857,5.831,9.3
93,14.1314,5.6266,7.9692
94,18.3535,5.8655,11.7269
95,15.7995,5.7068,9.2233
96,15.5419,5.2203,9.5432
97,16.6513,5.5886,10.1337
98,14.8727,5.2574,9.1584
99,16.5417,5.296,10.007
100,22.6811,6.5854,15.32
101,16.2455,6.3831,9.0824
102,16.0856,6.5312,8.8349
103,11.7734,4.8104,6.5935
104,11.7133,4.7617,6.6198
105,10.9493,4.4128,6.1754
106,11.6831,4.5248,6.6795
107,11.5414,4.2122,6.9717
108,12.6372,4.8756,7.375
109,11.989,4.8475,6.7838
110,11.5601,4.5449,6.5022
111,11.9031,4.9523,6.6174
112,12.1037,4.656,7.0716
113,11.3562,4.5134,6.4539
114,11.3605,4.5445,6.4372
115,11.8351,4.6037,6.8985
116,11.6566,4.5255,6.7132
117,11.9274,4.6109,6.8367
118,11.8423,4.5404,6.9404
119,11.3266,4.0493,6.7456
120,11.2825,4.8054,6.1123
121,12.3121,4.4614,7.3709
122,16.9096,5.1373,11.3449
123,23.5864,6.2917,15.2351
124,22.6885,6.4176,11.1429
125,22.0959,6.3785,11.7412
126,15.7506,5.6169,8.752
127,15.2784,4.958,8.2615
128,16.0598,5.4742,8.5974
129,17.2551,5.2985,9.4596
130,18.6005,6.0742,11.2634
131,15.0618,5.7558,7.5774
132,14.0843,4.6032,8.0138
133,14.0616,5.171,7.6536
134,12.2062,4.5011,7.3695
135,13.8619,4.9636,8.3836
136,15.9875,5.3003,9.1009
137,16.4491,5.0457,10.3856
138,14.3792,5.6308,8.2663
139,14.9595,4.9015,9.0912
140,14.4434,5.1151,8.6316
141,16.7743,5.1333,10.3824
142,18.6877,7.7272,8.9074
143,17.3122,5.7942,9.8367
144,16.961,6.3068,8.582
145,19.0072,5.1707,11.2319
146,17.8329,4.6007,10.5122
147,16.5601,5.2709,9.462
148,13.8602,5.2784,7.7865
