# mode=parallel
# characters=512
# workers=15
# batch=32
# warmup=120
# vsync=0
# resolution=800x600
# complete=1
# exit_loading=0
# pending_at_exit=0
frame,frame_ms,animation_ms,render_submit_ms
0,5.6584,0.7199,4.6826
1,5.7297,0.7431,4.6741
2,6.1246,0.7169,5.1347
3,5.8212,0.6397,4.9385
4,5.7657,0.5428,4.9733
5,5.8089,0.5438,5.0166
6,5.3148,0.5203,4.5699
7,6.1153,0.5329,5.3463
8,6.0351,0.5754,5.2131
9,5.897,0.5263,5.1204
10,5.306,0.4877,4.5752
11,5.6441,0.7189,4.6989
12,5.9302,0.6109,5.0239
13,5.5534,0.5417,4.7728
14,5.3702,0.6993,4.4604
15,5.7112,0.5254,4.9377
16,6.2868,0.5771,5.4856
17,5.3422,0.5326,4.5798
18,5.3916,0.488,4.5419
19,5.3539,0.6896,4.4312
20,5.7177,0.7968,4.681
21,5.5302,0.5104,4.7771
22,5.1559,0.4931,4.4368
23,6.0555,0.757,5.0776
24,5.315,0.5232,4.56
25,5.2163,0.5514,4.4541
26,5.332,0.6813,4.4383
27,5.5673,0.51,4.8487
28,5.2178,0.5212,4.4844
29,5.2419,0.5206,4.5074
30,5.1819,0.5164,4.4504
31,5.8022,0.6502,4.7511
32,5.9434,0.78,4.8251
33,6.2106,0.7116,5.1717
34,5.7386,0.6257,4.8649
35,5.3434,0.5369,4.5899
36,5.2155,0.521,4.4813
37,5.201,0.5031,4.4839
38,5.4226,0.4804,4.6981
39,5.6188,0.6329,4.6791
40,5.5187,0.7946,4.4873
41,5.4906,0.6613,4.6139
42,5.6084,0.5261,4.8571
43,5.2194,0.5267,4.4783
44,5.2366,0.4943,4.495
45,5.9287,0.6802,5.0201
46,6.0934,0.78,4.9179
47,5.4994,0.7052,4.4725
48,5.3074,0.5167,4.5704
49,5.4414,0.5125,4.7046
50,5.8667,0.5597,5.0865
51,5.462,0.5269,4.6978
52,5.3892,0.5978,4.5048
53,5.7843,0.5111,4.912
54,5.728,0.7919,4.5445
55,5.3918,0.6807,4.4839
56,5.6835,0.5338,4.9149
57,5.4629,0.5292,4.699
58,5.1768,0.53,4.4323
59,5.1092,0.4726,4.4314
60,6.149,0.664,5.1134
61,5.5968,0.8071,4.5435
62,5.1812,0.521,4.4476
63,5.606,0.702,4.4884
64,5.9815,0.6708,5.0652
65,6.2805,0.4918,5.1603
66,5.6781,0.5377,4.8542
67,6.028,0.4844,5.1314
68,5.447,0.4753,4.7307
69,5.3612,0.6314,4.4521
70,5.5465,0.5732,4.6247
71,5.5403,0.6173,4.5992
72,6.1419,0.4685,5.213
73,6.1738,0.4592,5.114
74,5.7557,0.532,4.7235
75,6.1384,0.5234,5.0551
76,5.7009,0.5084,4.5954
77,5.5965,0.4883,4.8275
78,5.7373,0.6286,4.4598
79,7.7259,0.7454,6.4119
80,5.4972,0.4724,4.632
81,5.4112,0.6794,4.5136
82,6.401,0.7838,4.7973
83,6.2854,0.7079,4.5667
84,6.6177,0.7513,4.737
85,6.9396,0.7576,4.9665
86,6.0648,0.6997,4.725
87,6.0692,0.77,4.7609
88,5.8197,0.7262,4.4442
89,5.6881,0.5287,4.5274
90,6.2747,0.4837,5.1616
91,5.806,0.5042,4.7118
92,5.5979,0.6253,4.467
93,6.6016,0.7194,5.1882
94,5.6284,0.5372,4.5553
95,5.5422,0.4716,4.4555
96,5.6304,0.5473,4.4099
97,6.1801,0.5195,4.4172
98,5.9985,0.7769,4.4298
99,6.017,0.7562,4.509
100,6.1159,0.6544,4.8758
101,5.6351,0.5107,4.573
102,5.6091,0.5255,4.5458
103,5.6967,0.5202,4.5347
104,5.5334,0.5507,4.4291
105,6.4918,0.6813,5.1094
106,5.928,0.7703,4.6071
107,6.0951,0.5819,4.6671
108,5.7558,0.4736,4.7149
109,8.5341,0.7845,7.1141
110,6.696,0.7533,5.2646
111,5.8643,0.7346,4.5765
112,5.7935,0.6232,4.6466
113,6.9245,0.6302,5.6425
114,6.0434,0.6975,4.8502
115,6.3223,0.6552,5.0195
116,6.4464,0.7063,4.9947
117,6.6633,0.707,5.1871
118,5.6442,0.5124,4.4673
119,6.2643,0.5863,4.9664
120,5.4858,0.4726,4.4528
121,5.8759,0.7976,4.8019
122,6.0854,0.5296,5.3141
123,5.8531,0.5233,5.0717
124,5.4311,0.5264,4.6542
125,5.2153,0.523,4.4727
126,5.9694,0.4955,5.2198
127,5.3147,0.5027,4.5324
128,5.4391,0.7216,4.4198
129,5.3286,0.6353,4.4307
130,6.102,0.5141,5.3671
131,5.6859,0.5331,4.8629
132,5.2216,0.5316,4.47
133,5.4357,0.5267,4.637
134,5.2082,0.5102,4.4674
135,5.9885,0.6495,5.0925
136,6.0074,0.9024,4.8443
137,5.5444,0.712,4.6001
138,5.6607,0.6218,4.7505
139,5.7369,0.6309,4.8549
140,5.387,0.562,4.5823
141,6.2223,0.6917,4.9764
142,6.475,0.6335,5.113
143,6.4039,0.7035,5.1491
144,6.6085,0.6655,5.2156
145,5.767,0.6312,4.552
146,6.416,0.7573,4.7688
147,6.2565,0.7084,5.0439
148,6.7052,0.6925,5.2769
149,6.5523,0.6934,5.2835
150,6.0744,0.7278,4.7246
151,6.6548,0.7183,5.0798
152,5.9995,0.5795,4.5072
153,6.3698,0.6701,5.1265
154,6.9758,0.6687,5.2804
155,6.8493,0.7417,5.2095
156,6.7072,0.7004,5.251
157,5.7189,0.7125,4.5117
158,6.0586,0.6756,4.8396
159,5.9599,0.7167,4.6546
160,6.1983,0.6616,4.9226
161,5.9855,0.7472,4.4572
162,6.7928,0.7394,5.3409
163,5.9469,0.754,4.4999
164,6.2198,0.7912,4.6443
165,6.463,0.6656,4.855
166,5.6703,0.7115,4.5818
167,5.8644,0.6421,4.6571
168,6.1626,0.7095,4.7677
169,5.8225,0.6628,4.4886
170,6.5615,0.6918,5.3106
171,6.0351,0.6511,5.1524
172,5.638,0.6379,4.7299
173,6.1605,0.7314,5.1854
174,6.9851,0.7397,6.0015
175,7.1214,0.7616,5.977
176,7.4243,0.9401,6.0013
177,9.7425,0.7687,7.7959
178,7.7212,0.8226,6.3525
179,8.0968,0.8186,6.9823
180,5.8605,0.7192,4.8845
181,7.1212,0.6915,5.9925
182,5.9093,0.7275,4.8562
183,5.9054,0.6473,5.0284
184,5.6727,0.5324,4.9142
185,5.5281,0.5342,4.7388
186,5.2679,0.5092,4.5381
187,5.7729,0.7484,4.621
188,5.7759,0.7518,4.7568
189,6.4646,0.5607,5.6577
190,5.3456,0.4447,4.6867
191,5.9785,0.4934,5.266
192,5.3418,0.4954,4.6132
193,5.2182,0.5236,4.4803
194,5.1615,0.474,4.4683
195,5.9069,0.7692,4.8996
196,5.9229,0.6118,5.0655
197,5.2693,0.5299,4.5076
198,5.5585,0.546,4.7651
199,5.2043,0.5345,4.4515
200,5.1831,0.5187,4.445
201,5.1606,0.4722,4.4521
202,5.9436,0.5851,5.1166
203,5.4129,0.5097,4.6625
204,5.9357,0.5049,5.199
205,5.3953,0.5307,4.6335
206,5.583,0.5274,4.8242
207,5.235,0.5187,4.4971
208,5.2555,0.5838,4.4583
209,5.8816,0.7989,4.7944
210,6.0872,0.7803,5.043
211,5.354,0.5262,4.6148
212,5.1757,0.4903,4.4712
213,6.027,0.5086,5.301
214,5.3141,0.5168,4.548
215,5.172,0.494,4.4044
216,5.8305,0.8695,4.6422
217,5.9892,0.6379,5.1038
218,5.5096,0.5654,4.6645
219,5.1473,0.493,4.4426
220,5.8891,0.5162,5.1538
221,5.5866,0.7063,4.6557
222,5.7529,0.6107,4.9176
223,6.5629,0.6571,5.6632
224,5.6539,0.4885,4.9174
225,5.3937,0.6932,4.4492
226,5.1327,0.4809,4.4438
227,6.0162,0.5291,5.2736
228,5.5561,0.5289,4.7929
229,5.1943,0.5038,4.4788
230,5.1349,0.4895,4.4347
231,5.7652,0.6824,4.8392
232,5.7426,0.7868,4.7119
233,5.413,0.5126,4.6694
234,5.672,0.6487,4.7763
235,5.2172,0.5365,4.4552
236,5.1719,0.5244,4.4431
237,5.1876,0.4787,4.4473
238,5.778,0.7597,4.7872
239,5.3237,0.5032,4.5877
240,5.2756,0.5898,4.4727
241,5.1955,0.5229,4.4607
242,6.0018,0.47,5.2659
243,5.3252,0.4465,4.6465
244,5.342,0.557,4.5695
245,6.367,0.679,5.3882
246,5.7601,0.6402,4.7675
247,5.3454,0.5355,4.5098
248,5.9347,0.6556,5.0352
249,5.2567,0.5092,4.5145
250,5.9426,0.5284,5.0753
251,5.3761,0.484,4.6511
252,5.3432,0.6995,4.4338
253,6.1218,0.6371,5.2108
254,5.7429,0.6672,4.8183
255,5.2294,0.5304,4.4836
256,6.4714,0.5133,5.6903
257,5.2855,0.5286,4.5424
258,5.2242,0.5259,4.4906
259,5.2241,0.4721,4.5335
260,5.7285,0.6274,4.8678
261,5.318,0.6464,4.4536
262,5.6494,0.5804,4.8148
263,5.4653,0.5292,4.6856
264,5.5132,0.5273,4.7594
265,5.1213,0.4778,4.4339
266,5.1546,0.5307,4.4162
267,5.3506,0.6306,4.5035
268,5.2158,0.5106,4.4941
269,5.1442,0.5174,4.4183
270,5.382,0.5269,4.6131
271,5.1921,0.4968,4.4178
272,6.0425,0.8565,4.9565
273,5.9618,0.5797,5.1597
274,6.0123,0.6968,4.8799
275,5.4061,0.5275,4.6434
276,5.2466,0.5127,4.5188
277,5.1344,0.4945,4.4312
278,5.3774,0.4846,4.6675
279,5.3816,0.6782,4.4866
280,5.3213,0.6422,4.4646
281,5.4359,0.5269,4.5444
282,5.7993,0.5232,5.0561
283,5.8601,0.6693,4.9372
284,5.4297,0.5485,4.6514
285,5.9813,0.4743,5.2858
286,5.6143,0.5352,4.6618
287,5.773,0.7383,4.7803
288,5.2861,0.6174,4.4395
289,5.2028,0.5323,4.4558
290,5.1841,0.5197,4.4527
291,5.3153,0.5478,4.4585
292,5.9898,0.593,5.1283
293,5.5185,0.5834,4.718
294,5.6232,0.6195,4.6801
295,5.2946,0.5243,4.5345
