# mode=sequential
# characters=512
# workers=15
# batch=32
# warmup=120
# vsync=0
# resolution=800x600
# complete=1
# exit_loading=0
# pending_at_exit=0
frame,frame_ms,animation_ms,render_submit_ms
0,12.1867,5.1271,6.7525
1,8.9891,3.9015,4.8133
2,10.1245,3.9755,5.8791
3,9.7333,3.5893,5.4004
4,10.7939,3.5535,6.895
5,11.1662,4.2129,6.6018
6,9.1499,3.8298,5.0459
7,12.31,4.5131,7.3169
8,10.5351,5.3458,4.7071
9,12.9107,3.8623,8.6494
10,10.4236,4.9619,5.1834
11,8.954,3.9371,4.7303
12,9.6414,4.2455,4.9188
13,11.5872,4.1958,7.0929
14,9.3174,3.5736,5.3286
15,9.5539,3.5654,5.6301
16,13.0692,5.2841,7.4315
17,10.0682,4.0275,5.6926
18,10.0403,3.7005,6.0393
19,9.2499,3.5323,5.4247
20,10.393,3.9097,6.1745
21,10.8289,3.9297,5.874
22,10.2817,4.6862,5.0278
23,9.298,4.011,5.0232
24,9.1626,3.639,5.2557
25,9.354,3.6092,5.4951
26,9.2284,3.7563,5.1502
27,12.1122,4.7108,7.1342
28,11.1716,4.04,6.8191
29,11.2451,5.2551,5.4298
30,11.6012,4.9247,6.4133
31,10.6877,4.1259,6.2394
32,9.2518,3.9814,4.9777
33,9.9139,4.3813,5.1935
34,9.7052,4.0626,5.3142
35,8.6628,3.5725,4.8441
36,8.8901,3.5406,5.1127
37,9.2893,3.5201,4.6253
38,11.9335,4.5333,7.1415
39,12.8503,5.336,7.2158
40,9.2357,3.5885,5.132
41,9.2434,4.1406,4.8358
42,8.9247,3.572,5.078
43,10.0366,3.6498,5.8952
44,8.9056,3.7636,4.7295
45,8.8188,3.6451,4.9236
46,9.9993,3.6404,5.7885
47,10.9566,3.8986,6.7529
48,10.4032,4.6929,5.2228
49,8.9687,3.6637,4.6132
50,10.1669,3.6493,5.7291
51,13.1186,3.6857,5.0406
52,10.1891,4.2425,4.7183
53,10.8424,3.5571,5.1417
54,10.4999,4.0066,5.6158
55,10.1435,4.5497,4.8671
56,9.1601,3.7426,4.8248
57,9.7069,4.1151,4.9391
58,9.5066,3.9228,4.6396
59,9.596,3.7396,5.2965
60,9.733,3.9403,5.2766
61,8.4811,3.465,4.4234
62,10.0429,4.1421,5.2234
63,10.1551,4.3203,5.2259
64,10.5663,3.8367,6.0706
65,12.1127,3.6166,7.3315
66,9.7478,3.8855,5.2074
67,10.2366,3.9562,5.2188
68,9.4797,3.8352,5.123
69,9.173,3.8263,4.5766
70,9.077,3.9167,4.5651
71,8.8039,3.5261,4.5678
72,9.7114,4.073,4.8223
73,9.6879,4.2303,4.7725
74,10.0388,3.7663,5.2763
75,9.3618,3.9128,4.8849
76,9.8417,3.6947,5.4369
77,9.4917,3.8565,4.8388
78,9.667,3.7395,4.9325
79,8.7912,3.5796,4.6358
80,10.07,4.2694,5.1296
81,9.4486,3.8916,4.9655
82,8.6892,3.5136,4.5146
83,8.9902,3.5688,4.7816
84,10.0955,4.0904,5.3202
85,8.7216,3.5388,4.6398
86,8.8001,3.518,4.692
87,9.3411,3.7602,4.9766
88,9.4273,3.6263,4.9694
89,8.8945,3.7455,4.5535
90,8.5944,3.4706,4.5297
91,8.7388,3.5014,4.5657
92,8.564,3.4896,4.4828
93,9.3712,3.6731,5.0667
94,9.26,3.972,4.7015
95,9.3371,3.7533,5.0625
96,8.9151,3.6052,4.7822
97,9.2575,3.7037,5.2631
98,9.015,3.8782,4.8761
99,9.2299,3.9575,5.0451
100,8.8797,3.7043,4.9398
101,8.8441,3.8499,4.7469
102,9.0682,3.7215,4.4691
103,9.4055,3.9946,4.8362
104,9.6165,4.1738,4.8638
105,9.4983,4.0287,4.4621
106,8.1869,3.4866,4.487
107,8.1001,3.4348,4.4181
108,8.3036,3.4496,4.6409
109,8.0649,3.4592,4.3973
110,8.1059,3.4539,4.4317
111,8.0943,3.4789,4.4059
112,8.2117,3.4451,4.5465
113,8.1024,3.4747,4.4101
114,8.1373,3.4452,4.4722
115,8.0841,3.453,4.4217
116,8.1213,3.4788,4.418
117,8.3929,3.7495,4.425
118,8.9211,3.71,4.9697
119,8.1011,3.4782,4.4093
120,8.1681,3.5323,4.4201
121,8.3177,3.5025,4.497
122,9.1777,3.9512,4.9934
123,8.8977,3.8708,4.8036
124,9.0608,3.8883,4.9368
125,8.9559,3.6616,5.0685
126,9.1324,3.9627,4.9182
127,9.0425,3.6413,5.1656
128,9.1599,3.8367,5.0292
129,8.2059,3.4925,4.4529
130,8.1408,3.4414,4.4893
131,8.0874,3.4739,4.4014
132,8.2026,3.4964,4.4869
133,8.0845,3.4608,4.4128
134,8.1419,3.5093,4.4176
135,8.7019,3.4496,5.0029
136,8.2798,3.6062,4.4534
137,8.1058,3.4689,4.4272
138,8.9828,3.8274,4.4589
139,8.196,3.4817,4.4999
140,8.0828,3.4439,4.4311
141,8.1809,3.4523,4.5168
142,9.8631,4.2581,5.0326
143,9.3684,3.6936,5.0725
144,9.5326,3.8772,4.8338
145,9.272,3.5012,5.0853
146,8.9366,3.8025,4.5168
147,8.6367,3.5315,4.576
148,9.2357,3.5536,5.1372
149,9.2956,3.8883,4.8346
150,8.6925,3.5789,4.4359
151,9.3692,4.0583,4.7374
152,9.7681,3.7895,5.1289
153,9.0758,3.7996,4.6396
154,9.946,3.8014,5.2833
155,9.3045,3.4629,5.3803
156,8.6548,3.5529,4.5566
157,8.8673,3.6516,4.6441
158,9.0786,3.5,4.7293
159,8.9277,3.9866,4.5054
160,9.4523,3.9768,5.0366
161,8.7435,3.9816,4.4714
162,9.1266,3.4798,5.1733
163,8.8727,4.2112,4.4374
164,8.1788,3.4635,4.4172
165,8.1467,3.5071,4.4248
166,8.1859,3.4827,4.4613
167,8.5776,3.9093,4.4351
168,8.1385,3.4626,4.4606
169,8.1148,3.4759,4.431
170,8.1681,3.4631,4.4983
171,8.1509,3.4485,4.4474
172,8.581,3.8122,4.5445
173,8.0951,3.4896,4.4001
174,8.1481,3.4577,4.4701
175,8.0814,3.4656,4.412
176,8.0834,3.4625,4.4119
177,8.1212,3.4424,4.4315
178,8.3891,3.7481,4.4261
179,8.0542,3.4533,4.3951
180,8.1206,3.4972,4.416
181,8.1746,3.4495,4.4171
182,8.1475,3.4769,4.4457
183,8.2922,3.4415,4.5153
184,8.7793,3.7792,4.5364
185,9.7406,4.3076,5.0401
186,8.3097,3.5594,4.5354
187,8.6888,3.5304,4.4567
188,9.7115,4.3374,5.144
189,8.8896,3.6474,5.0254
190,9.1404,3.8735,5.0488
191,8.7435,3.587,4.9439
192,8.7778,3.8719,4.6913
193,9.0447,3.8908,4.8819
194,8.8384,3.5857,4.9641
195,8.906,3.7762,4.8966
196,9.0366,3.7955,5.0283
197,8.659,3.6314,4.8082
198,10.3028,5.0814,5.0027
199,8.9105,3.7109,4.9823
200,9.1785,3.8968,5.0389
201,8.8145,3.5675,4.9979
202,8.904,3.9513,4.7201
203,9.2228,3.965,5.0412
204,8.8458,3.6478,4.9846
205,9.2632,3.8042,5.074
206,8.7266,3.5283,4.985
207,9.0143,3.8683,4.8711
208,8.503,3.8471,4.4312
209,8.176,3.5253,4.4376
210,8.0579,3.4324,4.4208
211,8.3769,3.6141,4.4317
212,8.4912,3.7561,4.446
213,8.5685,3.5,4.5094
214,9.3445,4.2431,4.5113
215,9.7911,3.4598,5.4481
216,8.9755,3.739,4.4589
217,9.5714,4.1755,5.1701
218,8.956,3.967,4.7697
219,9.118,3.8951,4.988
220,8.6683,3.5362,4.8908
221,8.6289,3.7593,4.4529
222,9.1181,3.9058,4.5184
223,9.3724,4.2967,4.7364
224,9.2195,3.872,5.124
225,8.9498,3.6415,4.4403
226,10.1103,4.2239,5.1299
227,8.6442,3.4441,4.4355
228,8.4609,3.456,4.4166
229,8.5745,3.4494,4.4216
230,8.6536,3.4573,4.4359
231,9.883,4.1758,5.0778
232,9.3819,3.5709,5.1024
233,9.2894,4.093,4.4809
234,9.0267,3.8043,4.5269
235,9.1927,3.7675,4.7437
236,10.0354,4.3098,5.1062
237,9.1975,3.7354,4.8742
238,8.9,3.8324,4.7957
239,8.8322,3.6912,4.9229
240,8.85,3.9408,4.6708
241,8.9065,3.7801,4.8925
242,8.6488,3.5103,4.9233
243,8.8258,3.856,4.6322
244,8.0801,3.449,4.4217
245,8.1427,3.4579,4.4697
246,8.0438,3.4374,4.3993
247,8.1041,3.4403,4.4522
248,8.0861,3.4454,4.4291
249,8.0865,3.4636,4.41
250,8.1471,3.4985,4.4226
251,8.0925,3.4674,4.4138
252,8.1538,3.4935,4.4453
253,9.5573,4.0554,4.8926
254,9.0888,3.7978,4.9984
255,8.876,3.6432,4.9929
256,8.898,3.8864,4.7568
257,8.4688,3.4725,4.7435
258,8.4791,3.5728,4.685
259,8.1715,3.4411,4.4118
260,9.6912,4.1746,5.2028
261,8.2328,3.5106,4.5063
262,8.0873,3.4632,4.4134
263,8.1272,3.4759,4.4413
264,8.0632,3.444,4.4112
265,9.6567,4.2733,4.745
266,9.3052,3.9346,5.1495
267,8.6378,3.5716,4.8501
268,9.2403,3.9161,4.9503
269,8.721,3.6829,4.8048
270,8.8091,3.8589,4.6474
271,9.1176,3.8914,4.973
272,9.1572,3.5952,4.9942
273,10.5384,5.122,5.157
274,8.7466,3.5741,4.9529
275,8.9721,3.9321,4.6716
