mode,run,frame,characters,workers,batch,cpu_update_ms
sequential,0,0,512,4,32,3.81
sequential,0,1,512,4,32,4.3765
sequential,0,2,512,4,32,3.6761
sequential,0,3,512,4,32,4.0181
sequential,0,4,512,4,32,3.5031
sequential,0,5,512,4,32,4.2964
sequential,0,6,512,4,32,3.5726
sequential,0,7,512,4,32,3.4487
sequential,0,8,512,4,32,3.438
sequential,0,9,512,4,32,3.893
sequential,0,10,512,4,32,3.6621
sequential,0,11,512,4,32,3.4883
sequential,0,12,512,4,32,3.6479
sequential,0,13,512,4,32,3.4998
sequential,0,14,512,4,32,3.5021
sequential,0,15,512,4,32,3.492
sequential,0,16,512,4,32,3.4555
sequential,0,17,512,4,32,3.5391
sequential,0,18,512,4,32,3.8571
sequential,0,19,512,4,32,3.5597
sequential,0,20,512,4,32,3.423
sequential,0,21,512,4,32,3.4341
sequential,0,22,512,4,32,3.4404
sequential,0,23,512,4,32,3.4504
sequential,0,24,512,4,32,3.4179
sequential,0,25,512,4,32,3.4294
sequential,0,26,512,4,32,3.4848
sequential,0,27,512,4,32,3.7869
sequential,0,28,512,4,32,3.5471
sequential,0,29,512,4,32,3.4516
sequential,0,30,512,4,32,3.4444
sequential,0,31,512,4,32,4.0361
sequential,0,32,512,4,32,3.5377
sequential,0,33,512,4,32,3.4617
sequential,0,34,512,4,32,3.4457
sequential,0,35,512,4,32,4.1977
sequential,0,36,512,4,32,3.7768
sequential,0,37,512,4,32,3.9854
sequential,0,38,512,4,32,3.6265
sequential,0,39,512,4,32,3.7651
sequential,0,40,512,4,32,3.5049
sequential,0,41,512,4,32,3.4508
sequential,0,42,512,4,32,3.4413
sequential,0,43,512,4,32,3.4487
sequential,0,44,512,4,32,3.4423
sequential,0,45,512,4,32,3.4137
sequential,0,46,512,4,32,3.4527
sequential,0,47,512,4,32,3.4276
sequential,0,48,512,4,32,3.8303
sequential,0,49,512,4,32,3.5397
sequential,0,50,512,4,32,3.4637
sequential,0,51,512,4,32,3.4351
sequential,0,52,512,4,32,3.7983
sequential,0,53,512,4,32,4.3968
sequential,0,54,512,4,32,3.6859
sequential,0,55,512,4,32,4.0463
sequential,0,56,512,4,32,4.7846
sequential,0,57,512,4,32,3.8477
sequential,0,58,512,4,32,3.9816
sequential,0,59,512,4,32,3.7642
sequential,0,60,512,4,32,4.306
sequential,0,61,512,4,32,3.5024
sequential,0,62,512,4,32,3.4349
